paper,page,keyword,label,snippet
strategic,5,condition,design_dimension,"e signals, and if n* is in the support of q(* I m), then n* solves max Us(y(n), m, b); and (2) for each n,y(n) solves maxf UR (y,iM)p(iM I n)dm, wherep(m I n)- q(n I m)f(m)/J q(n I t)f(t)dt.2 Condition (1) says that S's signaling rule yields an expected-utility maximizing action for each of his information ""types,"" taking R's action rule as given. Condition (2) says that R responds optimally to each possible signal, using Bayes' Rule to update his prior, taking into account S's signaling strategy and the signal he receives. Since URl(_) < 0, the objective function in (2) is strictly concave iny; therefore, R will never use mixed strategies in equilibrium. Our model departs from the non-strategic sign"
strategic,6,study,result,"after his choice of strategy. We have adopted the alternative assumption that agents already know their private information when choosing their strategies, but in the present context the two definitions are equivalent. Thus, the main difference between our paper and Green and Stokey's is the question considered. They take preferences as given and study the effects of improved information on agents' welfares at equilibrium; we take information as given and study how agents use it differently when their preferences become more similar. (Holmstrom [6] studies the latter question in a principal-agent model.) Green and Stokey's [3] model has many equilibria, including some, which they call ""partition"
strategic,6,study,result,"e information when choosing their strategies, but in the present context the two definitions are equivalent. Thus, the main difference between our paper and Green and Stokey's is the question considered. They take preferences as given and study the effects of improved information on agents' welfares at equilibrium; we take information as given and study how agents use it differently when their preferences become more similar. (Holmstrom [6] studies the latter question in a principal-agent model.) Green and Stokey's [3] model has many equilibria, including some, which they call ""partition"" equilibria, in which S introduces noise only by not discriminating as finely as possible in his signal among"
strategic,6,study,result,"f our additional restric- tions on preferences. Our model is also related to those of Kreps and Wilson [7] and Milgrom and Roberts [9,10], who handle the problem of information transmission in the same way we do. Milgrom and Roberts' [9] model is closest in form to ours; but they focus mainly on perfectly informative equilibria. This precludes the study of the optimal amount of noise to include in a signal. Perfectly informative equilibria do not exist in our model, mainly because we assume that signaling has no cost to S other than that inherent in its effect on R's choice of action. 3. EQUILIBRIUM This section establishes the existence of equilibria in our model, and character- izes them. It is"
strategic,6,effect,result,"o. Milgrom and Roberts' [9] model is closest in form to ours; but they focus mainly on perfectly informative equilibria. This precludes the study of the optimal amount of noise to include in a signal. Perfectly informative equilibria do not exist in our model, mainly because we assume that signaling has no cost to S other than that inherent in its effect on R's choice of action. 3. EQUILIBRIUM This section establishes the existence of equilibria in our model, and character- izes them. It is shown that all equilibria are partition equilibria, in which, in effect, S introduces noise into his signal only by not discriminating as finely as possible among the information states he can distinguish. Furt"
strategic,6,effect,result,"informative equilibria do not exist in our model, mainly because we assume that signaling has no cost to S other than that inherent in its effect on R's choice of action. 3. EQUILIBRIUM This section establishes the existence of equilibria in our model, and character- izes them. It is shown that all equilibria are partition equilibria, in which, in effect, S introduces noise into his signal only by not discriminating as finely as possible among the information states he can distinguish. Further, we show that if R's and S's preferences differ, there is a finite upper bound, denoted N(b), on the ""size"" (that is, the number of subintervals) of an equilibrium partition; and that there exists at least o"
strategic,8,parameter,design_dimension,"ther, any equilibrium is essentially3 equivalent to one in this class, for some value of N with 1 <N<N(b). REMARKS: Theorem 1 establishes the existence of a partition equilibrium of every size from one (completely uninformative) to N(b) (the most informative, in a sense made precise below), where N(b) is determined by b, the preference- similarity parameter. If preferences are identical for some value of b, or if y S(m, b) =yR(m) for some m, existence is easily established, but finiteness does not hold in general. PROOF: The outline of the proof is as follows. Given Lemma 1, each S-type must, in an equilibrium of size N, choose from a set of N values of y. Since Ujs(-) > 0, the S-types for whom each"
strategic,8,condition,design_dimension,"e Ujs(-) > 0, the S-types for whom each value of y that occurs in equilibrium is best form an interval, and these intervals form a partition of [0, 1]. The partition, a, is determined by (A), a well-defined second-order nonlinear difference equa- tion in the ai, and (11) and (12), its initial and terminal conditions. Equation (A) is an ""arbitrage"" condition, requiring that S-types who fall on the boundaries between steps are indifferent between the associated values of y. With our assumptions on Us, this condition is necessary and sufficient for S's signaling rule to be a best response to y(n). Finally, given the signaling rules in the 3By ""essentially,"" we mean that all equilibria have relationships"
strategic,8,condition,design_dimension,"ition, a, is determined by (A), a well-defined second-order nonlinear difference equa- tion in the ai, and (11) and (12), its initial and terminal conditions. Equation (A) is an ""arbitrage"" condition, requiring that S-types who fall on the boundaries between steps are indifferent between the associated values of y. With our assumptions on Us, this condition is necessary and sufficient for S's signaling rule to be a best response to y(n). Finally, given the signaling rules in the 3By ""essentially,"" we mean that all equilibria have relationships between m and R's induced choice of y that are the same as those in the class described in the Theorem; they are, therefore, economically equivalent."
strategic,11,introduction,context,"mma 2 that if V(O, a,, a2, b) = 0 for some 0 < a, < a2 < 1 then V(O,a,, 1,b) < 0. Hence V(O,a, 1,b) > 0 for all a E [0, 1] implies that there is no partition equilibrium of size two. Thus, by Theorem 1, N(b) = 1. Q.E.D. 4. AN EXAMPLE This section works out a simple example, to serve as an antidote to the abstractness of the previous section and an introduction to the comparative statics questions we shall ask in the next section. In the example, F(m) is uniform (on [0, 1]), Us(y,m, b) - (y - (m + b))2, where b > 0 without loss of general- ity, and UR(y, m) - (y - M)2. These specifications satisfy all of our main- tained assumptions, and have a convenient certainty-equivalence property. Consider the cond"
strategic,11,condition,design_dimension,". PROOF: Since Us(y(ai- 1, ai), ai, b) = Us(y(ai, ai+ 1), ai, b) by hypothesis, y(ai, ai+ 1) > y(ai- 1, ai), and U1s1(-) < 0, Uj (y, ai, b) > 0 for y < y(ai1,ai) and Uj(y, ai, b) < 0 for y ? Yj(ai, ai+ ). The Lemma follows from the definition of V becausey(.) is strictly increasing in both of its arguments. Q.E.D. The next result provides a simple condition on preferences that guarantees they are far enough apart so that the only equilibrium is totally uninformative. COROLLARY 1: If V(O, a, 1, b) > 0 for all a E [0, 1], then N(b) = 1; that is, the only equilibrium is uninformative. REMARKS: If yS(a, b) > yR(a) for all a, as we assume in Section 5, then V(O, a, 1, b) > 0 for all sufficiently large val"
strategic,11,condition,design_dimension,"librium is uninformative. REMARKS: If yS(a, b) > yR(a) for all a, as we assume in Section 5, then V(O, a, 1, b) > 0 for all sufficiently large values of a. This is because if y S(a, b) 2 y R (1) then an S of type a wishes to induce R to take as large an action as possible. In particular, if y S(Q, b) 2 yR(l) then N(b) = 1. Under the monotonic- ity condition, (M), we shall impose in the comparative statics analysis of Section 5, the condition of the Corollary is equivalent to Us(y(O, 1), 0, b) > Us(y(O, 0), 0, b). This means that an S of type m = 0 would rather be completely disguised than perfectly revealed. PROOF: It follows from Lemma 2 that if V(O, a,, a2, b) = 0 for some 0 < a, < a2 < 1 then V(O,"
strategic,11,condition,design_dimension,"ion 5, then V(O, a, 1, b) > 0 for all sufficiently large values of a. This is because if y S(a, b) 2 y R (1) then an S of type a wishes to induce R to take as large an action as possible. In particular, if y S(Q, b) 2 yR(l) then N(b) = 1. Under the monotonic- ity condition, (M), we shall impose in the comparative statics analysis of Section 5, the condition of the Corollary is equivalent to Us(y(O, 1), 0, b) > Us(y(O, 0), 0, b). This means that an S of type m = 0 would rather be completely disguised than perfectly revealed. PROOF: It follows from Lemma 2 that if V(O, a,, a2, b) = 0 for some 0 < a, < a2 < 1 then V(O,a,, 1,b) < 0. Hence V(O,a, 1,b) > 0 for all a E [0, 1] implies that there is no partit"
strategic,12,condition,design_dimension,"STRATEGIC INFORMATION TRANSMISSION 1441 The arbitrage condition (A) specializes to (20) -a( a12 + - b) b( i- a1 -a1-b) (i =1, . .. , N -1), which can only hold, given the monotonicity of a, if (21) ai+1 = 2ai-aai- + 4b (i= 1, ..., N-1). This second-order linear difference equation has a class of solutions parametrized by al (given that ao = 0): (22) a,=a,i+2i(i-l)b (i=1,...,N). N(b) in Theorem 1 is the largest"
strategic,12,theory,theory,"itive integer i such that 2i(i - l)b < 1, which is easily shown to be (2 2 b 1+- (where <z> denotes the smallest integer greater than or equal to z). Thus, it is clear that the closer b approaches zero-the more nearly agents' interests coincide-the finer partition equilibria there can be. (We use ""finer"" informally, not in the sense of information theory.) As b -* oo, N(b) eventually falls to unity, and only the completely uninformative equilibrium remains; in fact, this occurs in our example as soon as b exceeds 1/4, as predicted by Corollary 1. It is natural to ask which of these equilibria is best for R and S. In general, the answer ex post will be different for different values of m; but ex an"
strategic,16,study,design_dimension,"ast to small deviations from our example. Theorem 2 provides conditions on priors and preferences that imply (M): THEOREM 2: For a given value of b, if U2s(y, a, b) + Us(y, a, b) is nondecreasing in y and fa U/(y, m)f(m) dm + U1R(y, a)f(a) is nonincreasing in a, then all solu- tions to (A) satisfy condition (M). PROOF: Let ao E [0, 1) be given. To study how solutions to (A) change when the initial conditions vary, we specify yo > y R(ao). Let a-{ ao,... , aN } and Y-{YO YO YN} be the sequences that satisfy (26) fai+iU (yi,m)f(m)dm= O (i O, ... N-1), and (27) Us(yi, ai, b)- Us(y 1, ai, b)=O? (i= 1,*, N-1). Given ai, (26) determines ai +1 as a function of yi; given yi - 1, (27) determines yi as a f"
strategic,16,condition,design_dimension,"atisfied in our example and that it is robust at least to small deviations from our example. Theorem 2 provides conditions on priors and preferences that imply (M): THEOREM 2: For a given value of b, if U2s(y, a, b) + Us(y, a, b) is nondecreasing in y and fa U/(y, m)f(m) dm + U1R(y, a)f(a) is nonincreasing in a, then all solu- tions to (A) satisfy condition (M). PROOF: Let ao E [0, 1) be given. To study how solutions to (A) change when the initial conditions vary, we specify yo > y R(ao). Let a-{ ao,... , aN } and Y-{YO YO YN} be the sequences that satisfy (26) fai+iU (yi,m)f(m)dm= O (i O, ... N-1), and (27) Us(yi, ai, b)- Us(y 1, ai, b)=O? (i= 1,*, N-1). Given ai, (26) determines ai +1 as a function"
strategic,17,condition,design_dimension,"s preferences shift uniformly with m. It is also clear from the proof that the hypotheses of Theorem 2 are significantly stronger than (M): the proof established that an increase in a, leads to larger increases in all subsequent ai, but all that (M) really requires is that all of the subsequent ai increase. Since (M) is, in turn, only a sufficient condition for the comparative statics results that follow, the hypotheses of Theorem 2 are quite far from being necessary for the comparative statics results to hold. We shall now pause to establish a few useful lemmas. LEMMA 3: For a given value of b, if 1 < N < N(b), there is exactly one partition equilibrium of size N. Further, if a(N, b) and a(N', b) ar"
strategic,21,effect,result,"ke lying, credibility, and credulity -all essential features of strategic communication-do not have fully satisfac- tory operational meanings within the model. Generalizations that would test the robustness of our results and help to remedy this defect include allowing lying to have costs for S, uncertain to R, in addition to those inherent in its effect on R's choice of action; allowing R to be uncertain about S's preferences, and therefore about his incentives to communicate truthfully; and allowing S to be uncertain about R's ability to check the accuracy of what he is told. University of California, San Diego Manuscript received March, 1981; final revision received December, 1981."
strategic,21,theory,theory,"e models with this property, our results can be generalized immediately beyond the confines of our model in several directions. These results hint that there may be a good case for presuming that direct communication is more likely to play an important role, the more closely related are agents' goals. Other interesting conclusions suggested by our theory are that perfect communi- cation is not to be expected in general unless agents' interests completely coincide, and that once interests diverge by a given, ""finite"" amount, only no communication is consistent with rational behavior. Some worthwhile extensions of the model are suggested by the fact that the structure of our model interacts with the"
strategic,22,theory,theory,"STRATEGIC INFORMATION TRANSMISSION 1451 REFERENCES [1] CHATrERJEE, KALYAN, AND WILLIAM SAMUELSON: ""The Simple Economics of Bargaining,"" Boston University, School of Management, Working Paper 2/81, 1979, revised 1981. [2] CRAWFORD, VINCENT P.: ""A Theory of Disagreement in Bargaining,"" Econometrica, 50(1982), 607-638. [3] GREEN, JERRY, AND NANCY STOKEY: ""A Two-Person Game of Information Transmission,"" Harvard University, H.I.E.R. Discussion Paper 751, March, 1980. [4] HARSANYI, JOHN C.: ""Games with Incomplete Information Played by 'Bayesian' Players II: Bayesian Equilibrium Points,"" Management Sci"
strategic,22,theory,theory,"per 751, March, 1980. [4] HARSANYI, JOHN C.: ""Games with Incomplete Information Played by 'Bayesian' Players II: Bayesian Equilibrium Points,"" Management Science, 14(1968), 320-334. [5] : Rational Behavior and Bargaining Equilibrium in Games and Social Situations. London and New York: Cambridge University Press, 1977. [6] HOLMSTROM, BENGT: ""On the Theory of Delegation,"" mimeo, Northwestern University, June, 1980. [7] KREPS, DAVID M., AND ROBERT WILSON: ""Reputation and Imperfect Information,"" Journal of Economic Theory, 27(1982), 253-279. [8] LOEVE, MICHEL: Probability Theory. New York: D. Van Nostrand Company, Inc., 1955. [9] MILGROM, PAUL, AND JoHN ROBERTS: ""Limit Pricing and Entry under Incomple"
strategic,22,theory,theory,"968), 320-334. [5] : Rational Behavior and Bargaining Equilibrium in Games and Social Situations. London and New York: Cambridge University Press, 1977. [6] HOLMSTROM, BENGT: ""On the Theory of Delegation,"" mimeo, Northwestern University, June, 1980. [7] KREPS, DAVID M., AND ROBERT WILSON: ""Reputation and Imperfect Information,"" Journal of Economic Theory, 27(1982), 253-279. [8] LOEVE, MICHEL: Probability Theory. New York: D. Van Nostrand Company, Inc., 1955. [9] MILGROM, PAUL, AND JoHN ROBERTS: ""Limit Pricing and Entry under Incomplete Information: an Equilibrium Analysis,"" Econometrica, 50(1982), 443-460. [10] : ""Predation, Reputation, and Entry Deterrence,"" Journal of Economic Theory, 27(1982),"
